PATHWAY	NAME	NGENES	NCOMPOUNDS	TYPE
R-MMU-5693532	DNA Double-Strand Break Repair	156	16	REACTOME
R-MMU-73894	DNA Repair	313	51	REACTOME
R-MMU-69306	DNA Replication	122	16	REACTOME
R-MMU-69002	DNA Replication Pre-Initiation	82	4	REACTOME
R-MMU-68952	DNA replication initiation	8	10	REACTOME
R-MMU-69190	DNA strand elongation	21	8	REACTOME
R-MMU-376172	DSCAM interactions	8	4	REACTOME
R-MMU-3769402	Deactivation of the beta-catenin transactivating complex	30	2	REACTOME
R-MMU-429947	Deadenylation of mRNA	26	4	REACTOME
R-MMU-429914	Deadenylation-dependent mRNA decay	55	11	REACTOME
R-MMU-73887	Death Receptor Signalling	122	5	REACTOME
R-MMU-5607761	Dectin-1 mediated noncanonical NF-kB signaling	57	2	REACTOME
R-MMU-5621480	Dectin-2 family	8	4	REACTOME
R-MMU-1461973	Defensins	49	1	REACTOME
R-MMU-4641257	Degradation of AXIN	55	2	REACTOME
R-MMU-4641258	Degradation of DVL	57	0	REACTOME
R-MMU-916853	Degradation of GABA	2	10	REACTOME
R-MMU-5610780	Degradation of GLI1 by the proteasome	56	0	REACTOME
R-MMU-195253	Degradation of beta-catenin by the destruction complex	78	2	REACTOME
R-MMU-1614558	Degradation of cysteine and homocysteine	12	30	REACTOME
R-MMU-1474228	Degradation of the extracellular matrix	130	10	REACTOME
R-MMU-4419969	Depolymerisation of the Nuclear Lamina	14	7	REACTOME
R-MMU-606279	Deposition of new CENPA-containing nucleosomes at the centromere	77	1	REACTOME
R-MMU-73927	Depurination	64	8	REACTOME
R-MMU-73928	Depyrimidination	8	9	REACTOME
R-MMU-2022923	Dermatan sulfate biosynthesis	10	2	REACTOME
R-MMU-3299685	Detoxification of Reactive Oxygen Species	31	20	REACTOME
R-MMU-5688426	Deubiquitination	245	6	REACTOME
R-MMU-1266738	Developmental Biology	497	25	REACTOME
R-MMU-8935690	Digestion	21	43	REACTOME
R-MMU-8963743	Digestion and absorption	25	45	REACTOME
R-MMU-189085	Digestion of dietary carbohydrate	10	18	REACTOME
R-MMU-192456	Digestion of dietary lipid	6	17	REACTOME
R-MMU-69416	Dimerization of procaspase-8	10	0	REACTOME
R-MMU-4641262	Disassembly of the destruction complex and recruitment of AXIN to the membrane	27	2	REACTOME
R-MMU-114516	Disinhibition of SNARE formation	5	5	REACTOME
R-MMU-110357	Displacement of DNA glycosylase by APEX1	9	0	REACTOME
R-MMU-75205	Dissolution of Fibrin Clot	12	2	REACTOME
R-MMU-212676	Dopamine Neurotransmitter Release Cycle	23	1	REACTOME
R-MMU-379401	Dopamine clearance from the synaptic cleft	4	13	REACTOME
R-MMU-390651	Dopamine receptors	5	1	REACTOME
R-MMU-8863795	Downregulation of ERBB2 signaling	28	4	REACTOME
R-MMU-1358803	Downregulation of ERBB2:ERBB3 signaling	12	2	REACTOME
R-MMU-1253288	Downregulation of ERBB4 signaling	9	0	REACTOME
R-MMU-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	18	4	REACTOME
R-MMU-2173788	Downregulation of TGF-beta receptor signaling	15	2	REACTOME
R-MMU-202424	Downstream TCR signaling	83	9	REACTOME
R-MMU-186763	Downstream signal transduction	27	6	REACTOME
R-MMU-1168372	Downstream signaling events of B Cell Receptor (BCR)	74	9	REACTOME
R-MMU-5654687	Downstream signaling of activated FGFR1	29	7	REACTOME
R-MMU-5654696	Downstream signaling of activated FGFR2	28	7	REACTOME
R-MMU-5654708	Downstream signaling of activated FGFR3	23	7	REACTOME
R-MMU-5654716	Downstream signaling of activated FGFR4	26	7	REACTOME
R-MMU-5696400	Dual Incision in GG-NER	38	1	REACTOME
R-MMU-6782135	Dual incision in TC-NER	62	4	REACTOME
R-MMU-113510	E2F mediated regulation of DNA replication	9	2	REACTOME
R-MMU-8866654	E3 ubiquitin ligases ubiquitinate target proteins	51	1	REACTOME
R-MMU-3000178	ECM proteoglycans	43	4	REACTOME
R-MMU-2179392	EGFR Transactivation by Gastrin	9	3	REACTOME
R-MMU-182971	EGFR downregulation	31	6	REACTOME
R-MMU-212718	EGFR interacts with phospholipase C-gamma	9	2	REACTOME
R-MMU-9648025	EML4 and NUDC in mitotic spindle formation	107	4	REACTOME
R-MMU-2682334	EPH-Ephrin signaling	66	9	REACTOME
R-MMU-3928665	EPH-ephrin mediated repulsion of cells	34	4	REACTOME
R-MMU-3928663	EPHA-mediated growth cone collapse	18	2	REACTOME
R-MMU-3928662	EPHB-mediated forward signaling	37	9	REACTOME
R-MMU-901032	ER Quality Control Compartment (ERQC)	4	6	REACTOME
R-MMU-199977	ER to Golgi Anterograde Transport	144	7	REACTOME
R-MMU-1236974	ER-Phagosome pathway	35	2	REACTOME
R-MMU-8847993	ERBB2 Activates PTK6 Signaling	12	2	REACTOME
R-MMU-6785631	ERBB2 Regulates Cell Motility	14	1	REACTOME
R-MMU-198753	ERK/MAPK targets	19	4	REACTOME
R-MMU-202670	ERKs are inactivated	13	2	REACTOME
R-MMU-8939211	ESR-mediated signaling	189	32	REACTOME
R-MMU-114508	Effects of PIP2 hydrolysis	24	13	REACTOME
R-MMU-391903	Eicosanoid ligand-binding receptors	13	9	REACTOME
R-MMU-211979	Eicosanoids	16	13	REACTOME
R-MMU-1566948	Elastic fibre formation	42	1	REACTOME
R-MMU-112303	Electric Transmission Across Gap Junctions	5	1	REACTOME
R-MMU-2395516	Electron transport from NADPH to Ferredoxin	3	7	REACTOME
R-MMU-139853	Elevation of cytosolic Ca2+ levels	11	6	REACTOME
R-MMU-211976	Endogenous sterols	27	43	REACTOME
R-MMU-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	30	4	REACTOME
R-MMU-1236977	Endosomal/Vacuolar pathway	26	3	REACTOME
R-MMU-380972	Energy dependent regulation of mTOR by LKB1-AMPK	27	7	REACTOME
R-MMU-379398	Enzymatic degradation of Dopamine by monoamine oxidase	2	8	REACTOME
R-MMU-379397	Enzymatic degradation of dopamine by COMT	3	11	REACTOME
R-MMU-3928664	Ephrin signaling	18	4	REACTOME
R-MMU-212165	Epigenetic regulation of gene expression	112	12	REACTOME
R-MMU-1237044	Erythrocytes take up carbon dioxide and release oxygen	12	11	REACTOME
R-MMU-1247673	Erythrocytes take up oxygen and release carbon dioxide	8	8	REACTOME
R-MMU-9027276	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	12	4	REACTOME
R-MMU-9027284	Erythropoietin activates RAS	10	0	REACTOME
R-MMU-2468052	Establishment of Sister Chromatid Cohesion	10	3	REACTOME
R-MMU-193144	Estrogen biosynthesis	8	10	REACTOME
R-MMU-9018519	Estrogen-dependent gene expression	119	9	REACTOME
R-MMU-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	9	2	REACTOME
R-MMU-9634635	Estrogen-stimulated signaling through PRKCZ	5	5	REACTOME
R-MMU-71384	Ethanol oxidation	10	17	REACTOME
R-MMU-156842	Eukaryotic Translation Elongation	5	2	REACTOME
R-MMU-72613	Eukaryotic Translation Initiation	116	7	REACTOME
R-MMU-72764	Eukaryotic Translation Termination	6	6	REACTOME
R-MMU-8941413	Events associated with phagocytolytic activity of PMN cells	2	11	REACTOME
R-MMU-9036866	Expression and Processing of Neurotrophins	4	1	REACTOME
R-MMU-180786	Extension of Telomeres	23	17	REACTOME
R-MMU-9009391	Extra-nuclear estrogen signaling	69	25	REACTOME
R-MMU-1474244	Extracellular matrix organization	269	30	REACTOME
R-MMU-140834	Extrinsic Pathway of Fibrin Clot Formation	5	1	REACTOME
R-MMU-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	54	0	REACTOME
R-MMU-2871809	FCERI mediated Ca+2 mobilization	27	12	REACTOME
R-MMU-2871796	FCERI mediated MAPK activation	29	6	REACTOME
R-MMU-2871837	FCERI mediated NF-kB activation	73	4	REACTOME
R-MMU-2029481	FCGR activation	13	3	REACTOME
R-MMU-190242	FGFR1 ligand binding and activation	14	3	REACTOME
R-MMU-190370	FGFR1b ligand binding and activation	5	3	REACTOME
R-MMU-190374	FGFR1c and Klotho ligand binding and activation	3	3	REACTOME
R-MMU-190373	FGFR1c ligand binding and activation	11	3	REACTOME
R-MMU-6803529	FGFR2 alternative splicing	24	0	REACTOME
R-MMU-190241	FGFR2 ligand binding and activation	18	3	REACTOME
R-MMU-190377	FGFR2b ligand binding and activation	8	3	REACTOME
R-MMU-190375	FGFR2c ligand binding and activation	13	3	REACTOME
R-MMU-190239	FGFR3 ligand binding and activation	12	5	REACTOME
R-MMU-190371	FGFR3b ligand binding and activation	6	3	REACTOME
R-MMU-190372	FGFR3c ligand binding and activation	12	5	REACTOME
R-MMU-190322	FGFR4 ligand binding and activation	14	3	REACTOME
R-MMU-5658623	FGFRL1 modulation of FGFR1 signaling	12	1	REACTOME
R-MMU-9607240	FLT3 Signaling	247	25	REACTOME
R-MMU-217271	FMO oxidises nucleophiles	3	13	REACTOME
R-MMU-9614085	FOXO-mediated transcription	21	8	REACTOME
R-MMU-9617828	FOXO-mediated transcription of cell cycle genes	8	0	REACTOME
R-MMU-9615017	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	2	0	REACTOME
R-MMU-5654693	FRS-mediated FGFR1 signaling	21	5	REACTOME
R-MMU-5654700	FRS-mediated FGFR2 signaling	23	5	REACTOME
R-MMU-5654706	FRS-mediated FGFR3 signaling	18	5	REACTOME
R-MMU-5654712	FRS-mediated FGFR4 signaling	21	5	REACTOME
R-MMU-983231	Factors involved in megakaryocyte development and platelet production	121	12	REACTOME
R-MMU-6783310	Fanconi Anemia Pathway	34	5	REACTOME
R-MMU-75157	FasL/ CD95L signaling	4	0	REACTOME
R-MMU-434316	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	8	11	REACTOME
R-MMU-8978868	Fatty acid metabolism	169	219	REACTOME
R-MMU-211935	Fatty acids	20	14	REACTOME
R-MMU-75105	Fatty acyl-CoA biosynthesis	33	39	REACTOME
R-MMU-2454202	Fc epsilon receptor (FCERI) signaling	115	15	REACTOME
R-MMU-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	78	16	REACTOME
R-MMU-1187000	Fertilization	24	5	REACTOME
R-MMU-1566977	Fibronectin matrix formation	10	1	REACTOME
R-MMU-2855086	Ficolins bind to repetitive carbohydrate structures on the target cell surface	4	6	REACTOME
R-MMU-163210	Formation of ATP by chemiosmotic coupling	18	5	REACTOME
R-MMU-140877	Formation of Fibrin Clot (Clotting Cascade)	36	18	REACTOME
R-MMU-5696395	Formation of Incision Complex in GG-NER	41	5	REACTOME
R-MMU-112382	Formation of RNA Pol II elongation complex 	54	4	REACTOME
R-MMU-2559584	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	17	1	REACTOME
R-MMU-6781823	Formation of TC-NER Pre-Incision Complex	51	4	REACTOME
R-MMU-72689	Formation of a pool of free 40S subunits	98	0	REACTOME
R-MMU-196025	Formation of annular gap junctions	9	0	REACTOME
R-MMU-111458	Formation of apoptosome	2	1	REACTOME
R-MMU-77042	Formation of editosomes by ADAR proteins	2	1	REACTOME
R-MMU-113418	Formation of the Early Elongation Complex	32	5	REACTOME
R-MMU-75094	Formation of the Editosome	4	1	REACTOME
R-MMU-173599	Formation of the active cofactor, UDP-glucuronate	3	10	REACTOME
R-MMU-201722	Formation of the beta-catenin:TCF transactivating complex	89	2	REACTOME
R-MMU-6809371	Formation of the cornified envelope	116	10	REACTOME
R-MMU-72695	Formation of the ternary complex, and subsequently, the 43S complex	51	2	REACTOME
R-MMU-5661270	Formation of xylulose-5-phosphate	5	15	REACTOME
R-MMU-444473	Formyl peptide receptors bind formyl peptides and many other ligands	13	2	REACTOME
R-MMU-444209	Free fatty acid receptors	4	12	REACTOME
R-MMU-400451	Free fatty acids regulate insulin secretion	11	16	REACTOME
R-MMU-170968	Frs2-mediated activation	12	4	REACTOME
R-MMU-5652227	Fructose biosynthesis	2	9	REACTOME
R-MMU-70350	Fructose catabolism	5	15	REACTOME
R-MMU-5652084	Fructose metabolism	7	20	REACTOME
R-MMU-416482	G alpha (12/13) signalling events	70	5	REACTOME
R-MMU-418594	G alpha (i) signalling events	359	147	REACTOME
R-MMU-416476	G alpha (q) signalling events	201	64	REACTOME
R-MMU-418555	G alpha (s) signalling events	481	25	REACTOME
R-MMU-418597	G alpha (z) signalling events	29	6	REACTOME
R-MMU-8964315	G beta:gamma signalling through BTK	17	1	REACTOME
R-MMU-8964616	G beta:gamma signalling through CDC42	18	1	REACTOME
R-MMU-392451	G beta:gamma signalling through PI3Kgamma	24	4	REACTOME
R-MMU-418217	G beta:gamma signalling through PLC beta	19	3	REACTOME
R-MMU-1296059	G protein gated Potassium channels	23	2	REACTOME
R-MMU-202040	G-protein activation	26	2	REACTOME
R-MMU-397795	G-protein beta:gamma signalling	30	7	REACTOME
R-MMU-112040	G-protein mediated events	39	17	REACTOME
R-MMU-1538133	G0 and Early G1	16	2	REACTOME
R-MMU-69236	G1 Phase	38	4	REACTOME
R-MMU-69615	G1/S DNA Damage Checkpoints	67	2	REACTOME
R-MMU-69206	G1/S Transition	104	6	REACTOME
R-MMU-68911	G2 Phase	5	2	REACTOME
R-MMU-69481	G2/M Checkpoints	163	4	REACTOME
R-MMU-69473	G2/M DNA damage checkpoint	91	4	REACTOME
R-MMU-69478	G2/M DNA replication checkpoint	5	2	REACTOME
R-MMU-69275	G2/M Transition	177	9	REACTOME
R-MMU-180292	GAB1 signalosome	17	6	REACTOME
R-MMU-977444	GABA B receptor activation	36	6	REACTOME
R-MMU-977443	GABA receptor activation	52	7	REACTOME
R-MMU-888568	GABA synthesis	2	4	REACTOME
R-MMU-888590	GABA synthesis, release, reuptake and degradation	18	16	REACTOME
R-MMU-6787639	GDP-fucose biosynthesis	6	15	REACTOME
R-MMU-5610785	GLI3 is processed to GLI3R by the proteasome	56	2	REACTOME
R-MMU-430116	GP1b-IX-V activation signalling	11	0	REACTOME
R-MMU-388396	GPCR downstream signalling	1012	192	REACTOME
R-MMU-500792	GPCR ligand binding	389	165	REACTOME
R-MMU-114604	GPVI-mediated activation cascade	34	8	REACTOME
R-MMU-179812	GRB2 events in EGFR signaling	12	2	REACTOME
R-MMU-1963640	GRB2 events in ERBB2 signaling	12	2	REACTOME
R-MMU-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	15	5	REACTOME
R-MMU-1306955	GRB7 events in ERBB2 signaling	4	0	REACTOME
R-MMU-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	109	5	REACTOME
R-MMU-70370	Galactose catabolism	5	10	REACTOME
R-MMU-163841	Gamma carboxylation, hypusine formation and arylsulfatase activation	33	30	REACTOME
R-MMU-159740	Gamma-carboxylation of protein precursors	9	5	REACTOME
R-MMU-159854	Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	11	5	REACTOME
R-MMU-190861	Gap junction assembly	32	2	REACTOME
R-MMU-190873	Gap junction degradation	9	0	REACTOME
R-MMU-190828	Gap junction trafficking	40	2	REACTOME
R-MMU-157858	Gap junction trafficking and regulation	42	4	REACTOME
R-MMU-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	20	3	REACTOME
R-MMU-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	60	3	REACTOME
R-MMU-881907	Gastrin-CREB signalling pathway via PKC and MAPK	18	5	REACTOME
R-MMU-211000	Gene Silencing by RNA	117	4	REACTOME
R-MMU-74160	Gene expression (Transcription)	1013	55	REACTOME
R-MMU-202433	Generation of second messenger molecules	20	7	REACTOME
R-MMU-212436	Generic Transcription Pathway	795	43	REACTOME
R-MMU-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	75	9	REACTOME
R-MMU-163359	Glucagon signaling in metabolic regulation	6	1	REACTOME
R-MMU-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	30	4	REACTOME
R-MMU-420092	Glucagon-type ligand receptors	32	1	REACTOME
R-MMU-194002	Glucocorticoid biosynthesis	16	17	REACTOME
R-MMU-70263	Gluconeogenesis	34	32	REACTOME
R-MMU-70326	Glucose metabolism	80	41	REACTOME
R-MMU-156588	Glucuronidation	20	31	REACTOME
R-MMU-210500	Glutamate Neurotransmitter Release Cycle	24	8	REACTOME
R-MMU-8964539	Glutamate and glutamine metabolism	13	25	REACTOME
R-MMU-399721	Glutamate binding, activation of AMPA receptors and synaptic plasticity	26	8	REACTOME
R-MMU-156590	Glutathione conjugation	31	30	REACTOME
R-MMU-174403	Glutathione synthesis and recycling	12	13	REACTOME
R-MMU-1483206	Glycerophospholipid biosynthesis	115	88	REACTOME
R-MMU-6814848	Glycerophospholipid catabolism	3	10	REACTOME
R-MMU-6783984	Glycine degradation	4	11	REACTOME
R-MMU-70221	Glycogen breakdown (glycogenolysis)	15	10	REACTOME
R-MMU-8982491	Glycogen metabolism	20	16	REACTOME
R-MMU-3322077	Glycogen synthesis	8	10	REACTOME
R-MMU-70171	Glycolysis	61	31	REACTOME
R-MMU-209822	Glycoprotein hormones	7	0	REACTOME
R-MMU-1630316	Glycosaminoglycan metabolism	118	59	REACTOME
R-MMU-1660662	Glycosphingolipid metabolism	38	40	REACTOME
R-MMU-389661	Glyoxylate metabolism and glycine degradation	29	41	REACTOME
R-MMU-432722	Golgi Associated Vesicle Biogenesis	52	5	REACTOME
R-MMU-162658	Golgi Cisternae Pericentriolar Stack Reorganization	10	3	REACTOME
R-MMU-8856688	Golgi-to-ER retrograde transport	125	11	REACTOME
R-MMU-982772	Growth hormone receptor signaling	11	5	REACTOME
R-MMU-3214847	HATs acetylate histones	70	2	REACTOME
R-MMU-1296061	HCN channels	3	2	REACTOME
R-MMU-8963896	HDL assembly	6	10	REACTOME
R-MMU-8964011	HDL clearance	3	4	REACTOME
R-MMU-8964058	HDL remodeling	10	12	REACTOME
R-MMU-3214842	HDMs demethylate histones	46	5	REACTOME
R-MMU-5685942	HDR through Homologous Recombination (HRR)	61	8	REACTOME
R-MMU-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	126	12	REACTOME
R-MMU-5685939	HDR through MMEJ (alt-NHEJ)	6	6	REACTOME
R-MMU-5685938	HDR through Single Strand Annealing (SSA)	33	3	REACTOME
R-MMU-2022928	HS-GAG biosynthesis	29	9	REACTOME
R-MMU-2024096	HS-GAG degradation	20	22	REACTOME
R-MMU-3371511	HSF1 activation	8	1	REACTOME
R-MMU-3371571	HSF1-dependent transactivation	22	4	REACTOME
R-MMU-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR)	51	14	REACTOME
R-MMU-5610787	Hedgehog 'off' state	103	7	REACTOME
R-MMU-5632684	Hedgehog 'on' state	81	2	REACTOME
R-MMU-5358346	Hedgehog ligand biogenesis	62	7	REACTOME
R-MMU-189451	Heme biosynthesis	13	32	REACTOME
R-MMU-189483	Heme degradation	13	17	REACTOME
R-MMU-109582	Hemostasis	507	74	REACTOME
R-MMU-1638091	Heparan sulfate/heparin (HS-GAG) metabolism	51	33	REACTOME
R-MMU-629597	Highly calcium permeable nicotinic acetylcholine receptors	9	2	REACTOME
R-MMU-629594	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	11	2	REACTOME
R-MMU-629587	Highly sodium permeable acetylcholine nicotinic receptors	6	2	REACTOME
R-MMU-390650	Histamine receptors	4	1	REACTOME
R-MMU-70921	Histidine catabolism	6	21	REACTOME
R-MMU-5693579	Homologous DNA Pairing and Strand Exchange	38	4	REACTOME
R-MMU-5693538	Homology Directed Repair	129	12	REACTOME
R-MMU-375281	Hormone ligand-binding receptors	9	0	REACTOME
R-MMU-450520	HuR (ELAVL1) binds and stabilizes mRNA	9	3	REACTOME
R-MMU-2142850	Hyaluronan biosynthesis and export	5	2	REACTOME
R-MMU-2142845	Hyaluronan metabolism	17	7	REACTOME
R-MMU-2160916	Hyaluronan uptake and degradation	12	7	REACTOME
R-MMU-1483115	Hydrolysis of LPC	8	7	REACTOME
R-MMU-1483152	Hydrolysis of LPE	1	5	REACTOME
R-MMU-3296197	Hydroxycarboxylic acid-binding receptors	1	4	REACTOME
R-MMU-204626	Hypusine synthesis from eIF5A-lysine	4	8	REACTOME
R-MMU-2428924	IGF1R signaling cascade	47	9	REACTOME
R-MMU-937041	IKK complex recruitment mediated by RIP1	19	1	REACTOME
R-MMU-6788467	IL-6-type cytokine receptor ligand interactions	16	0	REACTOME
R-MMU-937039	IRAK1 recruits IKK complex	7	2	REACTOME
R-MMU-975144	IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation	7	2	REACTOME
R-MMU-937042	IRAK2 mediated activation of TAK1 complex	10	2	REACTOME
R-MMU-975163	IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	15	3	REACTOME
R-MMU-381070	IRE1alpha activates chaperones	1	2	REACTOME
R-MMU-1606341	IRF3 mediated activation of type 1 IFN	1	0	REACTOME
R-MMU-3270619	IRF3-mediated induction of type I IFN	5	2	REACTOME
R-MMU-74713	IRS activation	6	2	REACTOME
R-MMU-112399	IRS-mediated signalling	42	9	REACTOME
R-MMU-2428928	IRS-related events triggered by IGF1R	46	9	REACTOME
R-MMU-1169408	ISG15 antiviral mechanism	28	4	REACTOME
R-MMU-168256	Immune System	1692	122	REACTOME
R-MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	103	11	REACTOME
R-MMU-141430	Inactivation of APC/C via direct inhibition of the APC/C complex	20	0	REACTOME
R-MMU-2514859	Inactivation, recovery and regulation of the phototransduction cascade	28	18	REACTOME
R-MMU-400508	Incretin synthesis, secretion, and inactivation	11	21	REACTOME
R-MMU-622312	Inflammasomes	14	8	REACTOME
R-MMU-997272	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	23	2	REACTOME
R-MMU-165181	Inhibition of TSC complex formation by PKB	2	3	REACTOME
R-MMU-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1	9	2	REACTOME
R-MMU-141405	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	20	0	REACTOME
R-MMU-166663	Initial triggering of complement	20	10	REACTOME
R-MMU-2995383	Initiation of Nuclear Envelope Reformation	12	3	REACTOME
R-MMU-168249	Innate Immune System	925	93	REACTOME
R-MMU-1483249	Inositol phosphate metabolism	46	42	REACTOME
R-MMU-429593	Inositol transporters	3	4	REACTOME
R-MMU-9609523	Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	16	0	REACTOME
R-MMU-163754	Insulin effects increased synthesis of Xylulose-5-Phosphate	2	8	REACTOME
R-MMU-264876	Insulin processing	14	2	REACTOME
R-MMU-77387	Insulin receptor recycling	27	1	REACTOME
R-MMU-74751	Insulin receptor signalling cascade	49	9	REACTOME
R-MMU-163685	Integration of energy metabolism	76	31	REACTOME
R-MMU-216083	Integrin cell surface interactions	70	1	REACTOME
R-MMU-354192	Integrin signaling	27	11	REACTOME
R-MMU-2534343	Interaction With Cumulus Cells And The Zona Pellucida	10	1	REACTOME
R-MMU-445095	Interaction between L1 and Ankyrins	7	1	REACTOME
R-MMU-8854521	Interaction between PHLDA1 and AURKA	2	2	REACTOME
R-MMU-880009	Interconversion of 2-oxoglutarate and 2-hydroxyglutarate	3	10	REACTOME
R-MMU-499943	Interconversion of nucleotide di- and triphosphates	27	49	REACTOME
R-MMU-351200	Interconversion of polyamines	3	13	REACTOME
R-MMU-913531	Interferon Signaling	64	9	REACTOME
R-MMU-909733	Interferon alpha/beta signaling	23	4	REACTOME
R-MMU-877300	Interferon gamma signaling	15	4	REACTOME
R-MMU-912526	Interleukin receptor SHC signaling	20	2	REACTOME
R-MMU-446652	Interleukin-1 family signaling	107	7	REACTOME
R-MMU-448706	Interleukin-1 processing	7	0	REACTOME
R-MMU-9020702	Interleukin-1 signaling	95	7	REACTOME
R-MMU-6783783	Interleukin-10 signaling	3	2	REACTOME
R-MMU-447115	Interleukin-12 family signaling	16	2	REACTOME
R-MMU-9020591	Interleukin-12 signaling	7	2	REACTOME
R-MMU-8983432	Interleukin-15 signaling	11	2	REACTOME
R-MMU-448424	Interleukin-17 signaling	55	6	REACTOME
R-MMU-451927	Interleukin-2 family signaling	34	2	REACTOME
R-MMU-9020558	Interleukin-2 signaling	9	2	REACTOME
R-MMU-8854691	Interleukin-20 family signaling	14	2	REACTOME
R-MMU-9020958	Interleukin-21 signaling	7	2	REACTOME
R-MMU-9020933	Interleukin-23 signaling	9	2	REACTOME
R-MMU-9020956	Interleukin-27 signaling	9	2	REACTOME
R-MMU-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	40	2	REACTOME
R-MMU-9014843	Interleukin-33 signaling	3	0	REACTOME
R-MMU-8984722	Interleukin-35 Signalling	8	2	REACTOME
R-MMU-9014826	Interleukin-36 pathway	6	0	REACTOME
R-MMU-9008059	Interleukin-37 signaling	2	2	REACTOME
R-MMU-9007892	Interleukin-38 signaling	3	2	REACTOME
R-MMU-6785807	Interleukin-4 and Interleukin-13 signaling	11	2	REACTOME
R-MMU-6783589	Interleukin-6 family signaling	22	2	REACTOME
R-MMU-1059683	Interleukin-6 signaling	9	2	REACTOME
R-MMU-1266695	Interleukin-7 signaling	26	2	REACTOME
R-MMU-8985947	Interleukin-9 signaling	6	2	REACTOME
R-MMU-8963676	Intestinal absorption	4	5	REACTOME
R-MMU-8981373	Intestinal hexose absorption	4	4	REACTOME
R-MMU-8963678	Intestinal lipid absorption	0	1	REACTOME
R-MMU-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	179	11	REACTOME
R-MMU-6811438	Intra-Golgi traffic	34	4	REACTOME
R-MMU-434313	Intracellular metabolism of fatty acids regulates insulin secretion	3	6	REACTOME
R-MMU-8981607	Intracellular oxygen transport	3	2	REACTOME
R-MMU-9006925	Intracellular signaling by second messengers	254	21	REACTOME
R-MMU-5620924	Intraflagellar transport	55	2	REACTOME
R-MMU-109606	Intrinsic Pathway for Apoptosis	38	4	REACTOME
R-MMU-140837	Intrinsic Pathway of Fibrin Clot Formation	20	10	REACTOME
R-MMU-8941237	Invadopodia formation	4	1	REACTOME
R-MMU-1296065	Inwardly rectifying K+ channels	29	3	REACTOME
R-MMU-983712	Ion channel transport	172	22	REACTOME
R-MMU-5578775	Ion homeostasis	52	10	REACTOME
R-MMU-6803544	Ion influx/efflux at host-pathogen interface	4	9	REACTOME
R-MMU-936837	Ion transport by P-type ATPases	53	15	REACTOME
R-MMU-451306	Ionotropic activity of kainate receptors	10	4	REACTOME
R-MMU-917937	Iron uptake and transport	56	22	REACTOME
R-MMU-450321	JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	20	4	REACTOME
R-MMU-5689877	Josephin domain DUBs	11	1	REACTOME
R-MMU-450604	KSRP (KHSRP) binds and destabilizes mRNA	15	3	REACTOME
R-MMU-2022854	Keratan sulfate biosynthesis	27	9	REACTOME
R-MMU-2022857	Keratan sulfate degradation	13	9	REACTOME
R-MMU-1638074	Keratan sulfate/keratin metabolism	33	18	REACTOME
R-MMU-6805567	Keratinization	189	10	REACTOME
R-MMU-74182	Ketone body metabolism	11	18	REACTOME
R-MMU-983189	Kinesins	52	4	REACTOME
R-MMU-156827	L13a-mediated translational silencing of Ceruloplasmin expression	108	2	REACTOME
R-MMU-373760	L1CAM interactions	62	8	REACTOME
R-MMU-8964038	LDL clearance	16	9	REACTOME
R-MMU-8964041	LDL remodeling	2	4	REACTOME
R-MMU-5682910	LGI-ADAM interactions	13	0	REACTOME
R-MMU-3134973	LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production	3	1	REACTOME
R-MMU-5653890	Lactose synthesis	3	5	REACTOME
R-MMU-69186	Lagging Strand Synthesis	17	8	REACTOME
R-MMU-3000157	Laminin interactions	26	0	REACTOME
R-MMU-69109	Leading Strand Synthesis	13	4	REACTOME
